id,ns1:name,maxLines,ns1:description,ns1:color,ns1:href,x,y,xunits,yunits,ns1:coordinates
21,阿別当,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4004</td></tr><tr><th>バス停名</th><td>阿別当</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.001974,36.417511,0
22,田の島,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4003</td></tr><tr><th>バス停名</th><td>田の島</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,136.992753,36.402483,0
23,千束,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4002</td></tr><tr><th>バス停名</th><td>千束</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,136.990142,36.388083,0
24,大勘場,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4001</td></tr><tr><th>バス停名</th><td>大勘場</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>利賀線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,136.986604,36.362275,0
25,菅沼ダム,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4113</td></tr><tr><th>バス停名</th><td>菅沼ダム</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>百瀬線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.050496,36.487289,0
26,谷内,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4112</td></tr><tr><th>バス停名</th><td>谷内</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>百瀬線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.045587,36.463886,0
27,島地,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4105</td></tr><tr><th>バス停名</th><td>島地</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>百瀬線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.04016,36.452292,0
28,中村,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4104</td></tr><tr><th>バス停名</th><td>中村</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>百瀬線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.038196,36.441668,0
29,合掌村口,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4103</td></tr><tr><th>バス停名</th><td>合掌村口</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>百瀬線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.040648,36.432419,0
30,上百瀬,0,<table border=1 cellspacing=0 cellpadding=2><tr><th>バス停ID</th><td>4102</td></tr><tr><th>バス停名</th><td>上百瀬</td></tr><tr><th>バス種別</th><td>公営バス</td></tr><tr><th>バス会社名</th><td>南砺市営バス</td></tr><tr><th>区域名</th><td>利賀区域</td></tr><tr><th>路線名</th><td>百瀬線</td></tr><tr><th>区分※</th><td>市営バス</td></tr></table>,FFFFFFFF,files/icon_3.PNG,0.5,0.5,fraction,fraction,137.037416,36.424002,0
